nome,ano,nota,votos,descricao,generos
98. Dark Souls,2011,9.1,(6.7K),"After narrowly escaping a doomed fate in an asylum, an undead warrior fights his way through the desolate remains of Lordran, once a sprawling utopia lead by the gods, to seek his purpose and fulfill a centuries old prophecy.","['Action', 'Adventure', 'Fantasy']"
99. Half-Life,1998,9.1,(12K),Dr. Gordon Freeman must fight his way out of a secret research facility after a teleportation experiment goes disastrously wrong.,"['Action', 'Horror', 'Sci-Fi']"
100. Fallout,1997,9.1,(4.4K),"After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.","['Action', 'Adventure', 'Sci-Fi']"
101. Disco Elysium - The Final Cut,2021,9.1,(1.2K),"You're a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.","['Comedy', 'Crime', 'Drama']"
102. Persona 4 Golden,2012,9.1,(2.1K),"A group of high school students discover a hidden TV world called 'The Midnight Channel', an alternate reality infested with shadows that is being used to commit murder. After awakening to their Personas, the group decides to investigate.","['Action', 'Adventure', 'Comedy']"
103. Resident Evil 2,1998,9.1,(6.8K),"Two months after the mansion events, the deadly T-virus escapes into the streets of Raccoon City. Leon Kennedy and Claire Redfield find the police office left abandoned. In an underground facility the story of Umbrella Corp. gets unfolded.","['Action', 'Horror', 'Sci-Fi']"
104. Portal,2007,9.1,(15K),A test subject wakes up in a scientific facility controlled by a sadistic artificial intelligence and must escape with the help of the only instrument she has--a gun that makes portals.,"['Adventure', 'Comedy', 'Sci-Fi']"
105. Mob of the Dead,2013,9.1,(1.1K),"Mob of the Dead, featured in the DLC pack Uprising for Call of Duty: Black Ops II (2012) introduces a main Zombies map set in Alcatraz Prison around the 1930's.","['Action', 'Horror', 'Thriller']"
106. Super Mario 64,1996,9.1,(7.5K),"When the evil Bowser steals 120 power stars and traps Princess Peach within the walls of her own castle, it's up to Mario to save her once again.","['Action', 'Adventure', 'Comedy']"
107. Super Mario Galaxy,2007,9.1,(6.6K),"When Princess Peach is abducted as part of Bowser's galaxy creation scheme, stalwart plumber Mario must leap to her rescue, with the help of new celestial friends and powers.","['Action', 'Adventure', 'Family']"
108. Grim Fandango,1998,9.1,(3.9K),Manuel Calavera is a travel agent in The Land of the Dead who has stumbled across a ring of corruption.,"['Adventure', 'Comedy', 'Crime']"
109. GoldenEye 007,1997,9.1,(6.3K),James Bond must track down agent-turned-terrorist Alec Trevelyan to stop the launch of a powerful satellite. Play the game that set the stage for the First-person shooter genre on the console.,"['Action', 'Adventure', 'Thriller']"
110. StarCraft,1998,9.1,(5.7K),"In 2499 in the Koprulu sector, a ferocious collective race known as the Zerg arrives to massacre the exiled human colonies while a highly advanced race, the Protoss, intervenes to exterminate the Zerg.","['Action', 'Adventure', 'Sci-Fi']"
111. Final Fantasy VI,1994,9.1,(3.6K),A mysterious woman joins a group of mercenaries in order to find out about her destiny and means of saving the world from an evil madman.,"['Action', 'Adventure', 'Drama']"
112. Half-Life 2: Episode Two,2007,9.1,(7.1K),"Gordon Freeman, along with the help of human and non-human allies, continues his fight against the ruthless alien force known as the Combine.","['Action', 'Adventure', 'Sci-Fi']"
113. Vampire: The Masquerade - Bloodlines,2004,9.1,(2.1K),"Beginning your journey as a new Kindred, you must choose your path to follow the high class Vampire Society, or the lawbreaking group of Anarchs as you find your place in this new world.","['Action', 'Drama', 'Fantasy']"
114. The Curse of Monkey Island,1997,9.1,(2.9K),"After unwittingly turning his true love Elaine into solid gold with a cursed engagement ring, Guybrush Threepwood must find a map, a ship and a crew, sail to Blood Island and track down an uncursed diamond ring to reverse the curse.","['Animation', 'Action', 'Adventure']"
115. Mother 3,2005,9.1,(615),"A young boy from the island of Tazmily must defeat a familiar enemy and his many cohorts, meeting many new friends along the way.","['Adventure', 'Comedy', 'Drama']"
116. Super Metroid,1994,9.1,(2.5K),Samus Aran returns to the brooding planet Zebes to recover the last metroid from the Space Pirates.,"['Action', 'Adventure', 'Horror']"
117. Gothic II,2002,9.1,(923),"Rescued from the ruins of the temple of the sleeper, the nameless hero faces another great challenge when Beliar, one of the three gods, summons a tremendous army in the mine valley.","['Action', 'Adventure', 'Fantasy']"
118. Mass Effect 3: Citadel,2013,9.1,(402),"Commander Shepard and the crew of the Normandy SR-2 Starship on shore leave, where they must uncover the truth surrounding a conspiracy against Shepard.","['Action', 'Adventure', 'Comedy']"
119. Bioshock: The Collection,2016,9.1,(834),"The complete, critically-acclaimed Bioshock trilogy, consisting of Bioshock (2007), Bioshock 2 (2010) and Bioshock Infinite (2013).","['Action', 'Adventure', 'Horror']"
120. Suikoden II,1998,9.1,(491),"Three years after the Gate Rune War, the 108 Stars of Destiny once again gather to protect the City-State of Jowston from the invading Kingdom of Highland, led by the demonic Luca Blight.","['Action', 'Adventure', 'Drama']"
